발화	감정
동업하는 친구가 내게 부탁한 일이 있는데 거의 다 해서 느긋하게 마무리하는 중이야.맞아. 열심히 했으니 친구도 만족스러워하겠지?	2
부하직원이 있는데 너무 일도 잘하고 신뢰가 가.일도 잘해서 너무 좋아.	2
삼 년 동안 준비한 자격증 시험 드디어 합격했어. 눈물 난다.합격이라는 문구 보고 그동안 고생은 잊히고 눈물이 나더라	2
서먹서먹했던 친구에게서 어젯밤에 연락이 왔어!이번 주말에 만나서 그동안 못했던 얘기를 해보기로 했어. 정말 기쁘다!	2
부모님의 지원으로 졸업 후에도 여유롭게 공부하면서 하고 싶은 일을 찾아서 감사해.맞아. 대학원을 갔는데 부모님 도움이 없었다면 어려웠겠지.얼른 취업하고 부모님께 효도도 많이 하고 싶어.	2
미리 일해 놓은 덕분에 마감 시간에 쫓기지 않고 일을 마무리했어.일이 다 끝났으니 홀가분하고 편안해.일을 마무리한 나 자신을 위해 커피 한잔 사줘야겠다.	2
손발이 잘 맞는 팀원들과 일을 하게 되어서 기뻐.맞아. 회사에서 일을 하는 게 이렇게 마음 편한 건 처음이야.협조적이고 즐겁게 일을 하려고 하는 사람들이야.	2
연차를 쓸 때 눈치 보지 않아도 되는 분위기라 좋아.탕비실도 좋고 성과급도 많이 나와서 회사가 정말 만족스러워.성과급이 많이 나온다는 점이 제일 좋아.	2
우리 회사는 수평적인 관계를 지향해서 편안해.응. 편해서 일의 효율도 함께 올라가는 것 같아.회의 때 자신의 의견을 적극적으로 개진해 볼 수 있는 분위기가 좋아.	2
내가 실수해도 나를 도와줄 사수가 옆에 있어서 든든해.좋은 사수를 만난 것이 복인 것 같아. 일을 빠르게 배우고 있다고 사수에게 칭찬도 들었어.여러 가지 상황을 많이 접해 보면서 요령을 터득하는 게 비결인 것 같아.	2
내 주거래 은행의 자산관리사가 내 재정을 잘 관리해 줘서 믿음이 가.매번 수익률과 구조를 알기 쉽게 설명해 주니까 믿음직해.그래서 내 재산의 팔십 퍼센트를 그 자산관리사에게 맡기기로 했어.	2
내 새로운 사업에 친구가 큰 도움이 될 것 같아서 든든해.그의 사업이 잘돼서 내게 금전적으로 큰 지원을 해 줄 수 있게 됐어.그 친구 덕분에 코로나 사태 직전에 마스크 사업을 시작할 수 있었어.	2
자식들이 다 잘 되고 있어서 노후 걱정이 없어.자식들이 지금도 나에게 아낌없는 지원을 해 주니까 신뢰가 가.그렇다마다. 명절 때마다 금일봉은 기본이고 다달이 용돈도 보내주지.	2
친구의 사업이 앞으로 크게 성장할 것 같아서 내 투자에 확신이 들어.시장 조사를 해 보니 중국 시장에 화장품을 납품하는 사업이 최근에 아주 크게 성장하고 있어.직접 시장 탐방을 해 보고 더욱 확신이 들었어.	2
공인중개사가 조만간 내게 수익이 많이 날 토지를 중개해줄 거야.법정 지상권이 있는 경매토지인데 이 부지에 조만간 지역개발사업이 진행될 거라는 이야기가 있어.중개사가 알기 쉽게 설명해 주니까 확실히 좋은 사람이라는 걸 알게 됐어.	2
새로운 예금 상품은 평균보다 이자가 두 배나 높아서 수익이 좋을 것 같아.새마을금고는 시중 은행보다 운영을 보수적으로 하는 편이라 약정금리를 아주 잘 지킨다고.내가 열심히 알아보고 선택한 상품이라 더욱 확신이 서.	2
내가 좋아하는 친구가 나를 알아봐서 정말 기분이 좋았어.앞으로는 그 친구와 더 친해지고 싶어.내가 먼저 친구에게 다가가야 할 것 같아.	2
아내는 바람을 안 피울 거야. 내 아내는 항상 나만 바라봐내 아내에 대한 신뢰가 있기 때문이지.아내에게 감사한 마음을 담아 좋은 선물을 사 주려고 해.	2
내 아내는 정말 정직한 사람인 것 같아.나는 정말 행복한 남자라고 생각해.정직하고 현명한 아내를 두었기 때문에 그렇게 생각해.	2
나는 아들보다 딸이 더 좋을 것 같아.커서 딸이 효도를 더 잘한다고 생각해.딸이 생기면 좋을 것 같아서 적금 상품에도 가입했어.	2
나는 내 아이들이 희망을 가질 수 있게 해 주는 부모가 될 거야.난 남들보다 더 잘할 수 있을 것 같아.나는 아이들에게 칭찬을 해 주고 선물을 하는 데 자신 있어.	2
목 디스크로 통증이 지속되어 병원을 찾았는데 경험 많은 전문 의사에게 치료를 받게 되어서 다행이야.목 디스크로 어깨와 팔이 아파도 수술은 꺼려졌는데 경험이 많다고 하니 느긋하게 마음먹으려고 해.빨리 치료받아서 건강한 몸으로 가족들과 여행도 다니고 싶어.	2
건강검진을 했는데 아무 이상이 없다고 해서 마음이 편안해.꾸준히 운동한 보람이 느껴져.앞으로도 지금처럼 열심히 운동하고 계속 건강관리를 해야겠어.	2
젊어서부터 건강식품을 꾸준히 챙겨 먹었더니 건강에는 자신 있어.건강검진을 받았는데 나이대보다 건강하다고 결과가 나와서 자신만만해졌어.자전거를 타고 강변을 시원하게 달리고 싶어.	2
애교 많은 우리 딸과 유쾌한 우리 아들을 생각하면 매우 행복하단 말이야.아침에는 딸의 애교가 저녁에는 아들의 유쾌한 말에 집안 분위기가 얼마나 훈훈한지 짝이 없어.친구들이 부러워하면서도 질투할 정도야. 자식들에게 더 잘해줘야겠다는 생각이 들어.	2
엊그제 모임에 다녀왔는데 다들 우리 부부를 보면서 서로 닮았다고 했어.동안이면서 무척 예쁜 아내와 내가 서로 닮았다니까 칭찬 같아서 기분 좋았지.결혼할 적에도 둘이 잘 어울린다는 얘기를 들었는데 나이 먹어서도 이렇게 칭찬해 주니 고마울 따름이지.	2
나는 탈모 때문에 스트레스였는데 아내가 걱정 말라고 위로해 줘서 기분이 좋아졌어.나는 가벼운 원형탈모로 진단받았으니 너무 걱정하지 말래. 그 말을 듣고 만족스러웠어.기분도 좋은데 오늘 아내랑 함께 몸 보양 한 번 해야겠어.	2
남다른 아내의 음식 솜씨 덕분에 늘 친구들이 부러워하는 걸 보면 참 기분이 좋단 말이야.친구들이 집을 방문하면 아내가 음식 준비를 하는데 식사 후 친구들이 그렇게 칭찬을 아끼지 않는다니까.그래서 매번 친구들이 오려고 해서 아내가 힘들어할까 봐 늘 미안한 마음이 들 정도야.	2
우리 둘 다 등산을 좋아해서 주말마다 아내랑 산에 다니는 것이 너무 만족스러워.우리 둘 다 등산을 좋아하는 것을 뒤늦게 깨달았지만 이제라도 함께 등산을 매주 가니까 좋아.서로 뒤처지지 않도록 배려하니까 관계가 좋아지는 것 같고 건강도 좋아져서 만족스러워.	2
요즘 수험생 아들이 평온하고 성실하게 공부하고 있어서 기특할 따름이야.수험생인데도 흔들리지 않고 평온하고 성실하게 공부하니까 최근 모의고사 점수가 부쩍 올랐어.물론이야. 나도 꾸준히 아들에게 잘해주기 위해 노력하는 부모가 되고 싶어.	2
우리 딸이 어제 학교에서 담임선생님께 세상에서 가장 좋은 아빠라고 자랑했다네. 참 기특할 따름이야.담임선생님이 수업 중에 우리 딸에게 세상에서 가장 좋아하는 사람이 누구냐고 질문했는데 아빠라고 답했대.기특할 따름인데 우리 딸 학교에서 돌아오면 오늘 소원 들어주려고 해.	2
지병이나 별다른 사고 없이 이렇게 무탈하게 커 준 자식들에게 감사할 따름이야.주변만 봐도 한 번쯤 크게 앓거나 가벼운 사고를 겪는데 우리 자식들은 늘 건강했어.아이들에게 항상 고마운 마음이야. 앞으로 더 잘 해줘야지.	2
나와 아내는 결혼한 지 이십 년이 넘었는데 금전적인 문제가 하나도 없었던 게 참 신기해.단지 아이들을 위해 투자하면서 우리 부부가 꾸준히 돈을 모은 것이 자랑스러워.아내와 내가 금전적인 부분에 대해서 가치관이 서로 맞기 때문에 가능했다고 봐.	2
집안일을 이렇게 완벽하게 해놓는 아내가 진정 존경스러워.살림뿐 아니라 자녀 교육 문제까지 해결하는 아내는 주부로서 손색없이 말 그대로 완벽해.아내가 시간별로 자기 업무를 완벽히 수행해내는 성격이라서 더 존경스러워.	2
저녁을 먹은 후 이렇게 거실에서 텔레비전을 보면서 가족들과 대화할 수 있다는 것이 참 행복해.아내는 저녁을 맛있게 차려주고 아이들과 식후에 보는 텔레비전을 보면 재미있거든.자기 역할에 충실하면서 서로를 배려하고 이해하고자 하는 마음 때문이지.	2
아내는 내가 매일 회식 때문에 늦어도 그걸 이해해 줬어.매번 늦는 내게 아내도 지칠 만하니 나도 무언가 해주고 싶어.아내 또래의 사람들이 좋아한다는 식당에 갈 거야. 아내가 가고 싶어 했거든.	2
이혼하고 나서 혼자라 외로웠는데 이제 함께할 사람이 생겨서 다행이야.응. 나랑 결혼해 준 아내에게 감사해.곧 아내 생일인데 선물로 아내가 가지고 싶어 하던 가방을 선물할 거야.	2
나나 아내나 나이가 있어 태어날 아이를 걱정했지만 건강해.아내와 아이 둘 모두 건강해서 고맙지. 특히 아내에게 고맙다고 말하고 싶어.아내의 얼굴을 볼 때마다 고맙다고 말해줄 거야.	2
천만다행이야. 아내가 탄 버스가 사고 났는데 아내는 다친 곳 없이 무사해.사고도 크지 않았고 사고 날 때 아내를 보호해 준 사람이 있었어. 감사 인사를 해야겠어.아내를 보호해 준 사람에게 호텔 식사권을 선물하려고 해.	2
딸이 내가 아니라 아내를 닮아서 감사해. 외모 걱정은 안 해도 될 것 같아.기쁘지. 나를 닮았으면 딸에게도 미안했을 거야.나는 아내 보다 못생겨서 날 닮았으면 딸도 싫어했을 거야. 이대로 예쁘게 컸으면 좋겠어.	2
자식들은 고혈압이 없어서 다행이야. 내가 고혈압이 있어서 걱정했는데 말이야.기쁘지. 아픈 곳 없이 건강해서 고맙다고 말해주고 싶어.가족 다 같이 맛있는 식당에 가서 밥을 먹으면서 시간을 보내려고 해.	2
생일이라고 아내가 깜짝 선물을 줘서 너무 고맙더라고.그러니까 말이야. 나도 아내에게 이 감사함을 전해야 하는데 어쩌면 좋을까?아내가 요즘 보는 홈쇼핑의 크림이면 분명 좋아하겠지.	2
우리 가족은 심성부터가 착해. 서로를 배려하고 안 좋은 말 안 하니 정말 감사해.그렇다니까! 그런 우리 가족에게 감사를 전하고 싶은데 어떻게 하면 좋을까?다 같이 여행을 가면 우리 가족 다들 좋아할 거야.	2
아들이 명문대에 합격해서 고마워. 그동안 일하느라 아들에게 신경을 못 써준 게 참 그래.자랑스럽고 고마워. 하지만 그런 감사를 전한 적이 없는 것 같아.고깃집에 가는 거지. 옛날부터 우리 아들은 고깃집을 좋아했거든.	2
아내의 대장암이 완치된 후에 자식들이 안부 문자를 자주 보내줘.응. 큰일을 이겨내고 가족이 더 돈독해진 거 같은 느낌이라 행복해.앞으로도 다 같이 건강하고 행복하게 잘 살자고 말해줘야겠어.	2
퇴원을 하니 집에 온 가족이 모여 있더라고. 정말 좋았어.너무 기뻤지. 가족들 덕에 내가 사는 것 같아.너희들 덕에 내가 산다. 정말 고마워.	2
내가 병이 있어서 아내한테 옮을까 걱정했는데 옮지는 않는다네.아내도 나도 서로 걱정하느라 이만저만이 아니었는데 정말 감사해.우리 서로 걱정하느라 힘든 게 이만저만이 아니었어. 앞으로는 너무 무리 말아.	2
이번 모의고사는 일 등급이 나올 것이 확실해.응. 이번엔 밤새워서 열심히 공부했거든.응. 다음에는 밤새우기보단 미리 꾸준히 공부해야지.	2
